rank,hand,category,description
599,AQ652,F,Ace-High Flush
600,AQ643,F,Ace-High Flush
601,AQ642,F,Ace-High Flush
602,AQ632,F,Ace-High Flush
603,AQ543,F,Ace-High Flush
604,AQ542,F,Ace-High Flush
605,AQ532,F,Ace-High Flush
606,AQ432,F,Ace-High Flush
607,AJT98,F,Ace-High Flush
608,AJT97,F,Ace-High Flush
609,AJT96,F,Ace-High Flush
610,AJT95,F,Ace-High Flush
611,AJT94,F,Ace-High Flush
612,AJT93,F,Ace-High Flush
613,AJT92,F,Ace-High Flush
614,AJT87,F,Ace-High Flush
615,AJT86,F,Ace-High Flush
616,AJT85,F,Ace-High Flush
617,AJT84,F,Ace-High Flush
618,AJT83,F,Ace-High Flush
619,AJT82,F,Ace-High Flush
620,AJT76,F,Ace-High Flush
621,AJT75,F,Ace-High Flush
622,AJT74,F,Ace-High Flush
623,AJT73,F,Ace-High Flush
624,AJT72,F,Ace-High Flush
625,AJT65,F,Ace-High Flush
626,AJT64,F,Ace-High Flush
627,AJT63,F,Ace-High Flush
628,AJT62,F,Ace-High Flush
629,AJT54,F,Ace-High Flush
630,AJT53,F,Ace-High Flush
631,AJT52,F,Ace-High Flush
632,AJT43,F,Ace-High Flush
633,AJT42,F,Ace-High Flush
634,AJT32,F,Ace-High Flush
635,AJ987,F,Ace-High Flush
636,AJ986,F,Ace-High Flush
637,AJ985,F,Ace-High Flush
638,AJ984,F,Ace-High Flush
639,AJ983,F,Ace-High Flush
640,AJ982,F,Ace-High Flush
641,AJ976,F,Ace-High Flush
642,AJ975,F,Ace-High Flush
643,AJ974,F,Ace-High Flush
644,AJ973,F,Ace-High Flush
645,AJ972,F,Ace-High Flush
646,AJ965,F,Ace-High Flush
647,AJ964,F,Ace-High Flush
648,AJ963,F,Ace-High Flush
649,AJ962,F,Ace-High Flush
650,AJ954,F,Ace-High Flush
651,AJ953,F,Ace-High Flush
652,AJ952,F,Ace-High Flush
653,AJ943,F,Ace-High Flush
654,AJ942,F,Ace-High Flush
655,AJ932,F,Ace-High Flush
656,AJ876,F,Ace-High Flush
657,AJ875,F,Ace-High Flush
658,AJ874,F,Ace-High Flush
659,AJ873,F,Ace-High Flush
660,AJ872,F,Ace-High Flush
661,AJ865,F,Ace-High Flush
662,AJ864,F,Ace-High Flush
663,AJ863,F,Ace-High Flush
664,AJ862,F,Ace-High Flush
665,AJ854,F,Ace-High Flush
666,AJ853,F,Ace-High Flush
667,AJ852,F,Ace-High Flush
668,AJ843,F,Ace-High Flush
669,AJ842,F,Ace-High Flush
670,AJ832,F,Ace-High Flush
671,AJ765,F,Ace-High Flush
672,AJ764,F,Ace-High Flush
673,AJ763,F,Ace-High Flush
674,AJ762,F,Ace-High Flush
675,AJ754,F,Ace-High Flush
676,AJ753,F,Ace-High Flush
677,AJ752,F,Ace-High Flush
678,AJ743,F,Ace-High Flush
679,AJ742,F,Ace-High Flush
680,AJ732,F,Ace-High Flush
681,AJ654,F,Ace-High Flush
682,AJ653,F,Ace-High Flush
683,AJ652,F,Ace-High Flush
684,AJ643,F,Ace-High Flush
685,AJ642,F,Ace-High Flush
686,AJ632,F,Ace-High Flush
687,AJ543,F,Ace-High Flush
688,AJ542,F,Ace-High Flush
689,AJ532,F,Ace-High Flush
690,AJ432,F,Ace-High Flush
691,AT987,F,Ace-High Flush
692,AT986,F,Ace-High Flush
